Pays;Coissance_population (%)
Aruba;-0.157952665853709
Afghanistan;2.66562820222961
Angola;3.03099631037773
Albania;-1.14841763771287
Andorra;0.330181899850107
United Arab Emirates;0.799054784290549
Argentina;0.903771167435598
Armenia;-0.0899173371650819
American Samoa;-0.814183458237158
Antigua and Barbuda;0.568965860290507
Australia;2.37089971050094
Austria;0.996275813585943
Azerbaijan;-0.288343752912047
Burundi;2.67147850336685
Belgium;1.16366497533437
Benin;2.66008514236957
Burkina Faso;2.51606040251666
Bangladesh;1.02746498713519
Bulgaria;-0.538593661595979
Bahrain;0.897717864437942
Bahamas, The;0.641620859891635
Bosnia and Herzegovina;-0.70384174302478
Belarus;-0.540824986374776
Belize;1.36088864482137
Bermuda;-0.166818835702156
Bolivia;1.336412296715
Brazil;0.513716985680443
Barbados;0.127743395119193
Brunei Darussalam;0.781345833219508
Bhutan;0.63304453326495
Botswana;1.69845730907796
Central African Republic;2.88270795208001
Canada;2.93227401162387
Central Europe and the Baltics;0.048293716256893
Switzerland;0.84073604280258
Channel Islands;0.725194564039875
Chile;0.131811438677878
China;-0.103794531589067
Cote d'Ivoire;2.49863016801663
Cameroon;2.59113967946452
Congo, Dem. Rep.;3.23230523620325
Congo, Rep.;2.25962565586274
Colombia;0.406206101195742
Comoros;1.81205290418229
Cabo Verde;0.928494014669758
Costa Rica;0.603176926750417
Caribbean small states;0.657153651808656
Cuba;-0.158363803836215
Curacao;-1.43292207278827
Cayman Islands;0.875266427063587
Cyprus;0.688799542570149
Czechia;1.87114719000125
Germany;0.813269249881238
Djibouti;1.38273344206501
Dominica;0.415704036089014
Denmark;0.741185515720057
Dominican Republic;0.923257649090989
Algeria;1.55401932380535
Ecuador;1.04712882938642
Egypt, Arab Rep.;1.54356509805617
Euro area;0.581585557888246
Eritrea;1.74549257972489
Spain;1.23763541014937
Estonia;1.27794159737588
Ethiopia;2.5187790536759
Finland;0.505513909563998
Fiji;0.708309568380842
France;0.292221085514903
Faroe Islands;0.338473433332776
Micronesia, Fed. Sts.;0.924204879960664
Gabon;1.97181513140581
United Kingdom;0.821212039762055
Georgia;1.28099843092554
Ghana;1.91170171695852
Gibraltar;0.119381069323213
Guinea;2.36211734721627
Gambia, The;2.45217756522986
Guinea-Bissau;2.12750787782784
Equatorial Guinea;2.34629870847474
Greece;-0.631359846394221
Grenada;0.592162162131326
Greenland;0.359389425458904
Guatemala;1.39900898821501
Guam;0.683444002088191
Guyana;0.629624405206613
Hong Kong SAR, China;2.55352466697343
Honduras;1.53082951071852
Croatia;-0.0633298852988127
Haiti;1.19922882982183
Hungary;-0.552969965032594
Indonesia;0.735139895418266
Isle of Man;0.225729728476368
India;0.805014301342575
Ireland;2.60299259103173
Iran, Islamic Rep.;0.700188903168177
Iraq;2.24105014081182
Iceland;2.99067031992196
Israel;2.06280419087907
Italy;-0.304633382751779
Jamaica;-0.0648514304106601
Jordan;0.452488759778546
Japan;-0.487370782049143
Kazakhstan;1.34158039345206
Kenya;1.96674157342146
Kyrgyz Republic;1.78894630690457
Cambodia;1.04996511061926
Kiribati;1.72470818693557
St. Kitts and Nevis;0.205424966383384
Korea, Rep.;0.077477253324535
Kuwait;0.96131038288673
Latin America & Caribbean (excluding high income);0.708807003548984
Lao PDR;1.37576862016302
Lebanon;-2.50498427319778
Liberia;2.15837823978606
Libya;1.1101275120524
St. Lucia;0.218823329233446
Liechtenstein;0.651369032629572
Sri Lanka;-0.651320770103285
Lesotho;1.05662089697663
Lithuania;1.41170910782706
Luxembourg;2.34600975458798
Latvia;0.125866344662112
Macao SAR, China;1.28364385187692
St. Martin (French part);0.89560315551153
Morocco;1.01483758667745
Monaco;-0.472749142011553
Moldova;-2.06952171753803
Madagascar;2.38265667508188
Maldives;-0.529476508977336
Mexico;0.743434542137949
Marshall Islands;1.02196784869723
North Macedonia;-1.0830878621445
Mali;3.05166141549371
Malta;4.07701021450296
Myanmar;0.733178876221607
Montenegro;-0.167992320943883
Mongolia;1.42551054825547
