Pays;score_facilite_business
Afghanistan;44.06497
Albania;67.74847
Algeria;48.59758
Angola;41.28838
Antigua and Barbuda;60.28342
Argentina;58.96151
Armenia;74.49401
Australia;81.21506
Austria;78.74549
Azerbaijan;78.50823
Bahamas, The;59.87155
Bahrain;76.02665
Bangladesh;45.04865
Barbados;57.90615
Belarus;74.29113
Belgium;74.98904
Belize;55.47444
Benin;52.40404
Bhutan;65.97305
Bolivia;51.65574
Bosnia and Herzegovina;65.44253
Botswana;66.1978
Brazil;59.08307
Brunei Darussalam;70.06387
Bulgaria;71.97405
Burkina Faso;51.40019
Burundi;46.77393
Cabo Verde;55.03925
Cambodia;53.84483
Cameroon;46.09974
Canada;79.64043
Central African Republic;35.56585
Chad;36.93568
Chile;72.58023
China;77.28424
Colombia;70.05964
Comoros;47.87291
Congo, Dem. Rep.;36.20973
Congo, Rep.;39.53359
Costa Rica;69.2383
Côte d'Ivoire;60.68796
Croatia;73.62096
Cyprus;73.35105
Czech Republic;76.34054
Denmark;85.28856
Djibouti;60.49674
Dominica;60.54797
Dominican Republic;59.98867
Ecuador;57.7227
Egypt, Arab Rep.;60.05364
El Salvador;65.25247
Equatorial Guinea;41.05286
Eritrea;21.5998
Estonia;80.61685
Eswatini;59.49273
Ethiopia;47.97613
Fiji;61.47892
Finland;80.17834
France;76.80465
Gabon;45.0251
Gambia, The;50.29381
Georgia;83.73393
Germany;79.71004
Ghana;59.96017
Greece;68.42391
Grenada;53.44488
Guatemala;62.59562
Guinea;49.42922
Guinea-Bissau;43.23319
Guyana;55.49196
Haiti;40.72493
Honduras;56.26791
Hong Kong, China;85.3154
Hungary;73.41584
Iceland;78.96154
India;71.04511
Indonesia;69.57879
Iran, Islamic Rep.;58.54658
Iraq;44.70443
Ireland;79.57614
Israel;76.67572
Italy;72.85055
Jamaica;69.67997
Japan;77.99983
Jordan;68.97453
Kazakhstan;79.55915
Kenya;73.21648
Kiribati;46.93884
Korea, Rep.;84.00083
Kosovo;73.18473
Kuwait;67.40473
Kyrgyz Republic;67.82089
Lao PDR;50.82456
Latvia;80.28054
Lebanon;54.3316
Lesotho;59.4294
Liberia;43.22747
Libya;32.68552
Liechtenstein;64.84421
Lithuania;81.61948
Luxembourg;69.6031
Madagascar;47.72865
Malawi;60.9371
Malaysia;81.47337
Maldives;53.27453
Mali;52.94472
Malta;66.13941
Marshall Islands;50.8911
Mauritania;51.06288
Mauritius;81.46811
Mexico;72.35556
Micronesia, Fed. Sts.;48.10341
Moldova;74.39091
Mongolia;67.77262
Montenegro;73.81891
Morocco;73.38133
Mozambique;54.9955
Myanmar;46.82775
Namibia;61.35078
Nepal;63.1866
Netherlands;76.10376
New Zealand;86.76465
Nicaragua;54.38673
Niger;56.75932
Nigeria;56.87589
North Macedonia;80.74807
Norway;82.62729
Oman;69.98474
Pakistan;60.95491
Palau;53.69982
Panama;66.56045
Papua New Guinea;59.77357
Paraguay;59.05401
Peru;68.69658
Philippines;62.82943
Poland;76.38122
Portugal;76.46616
Puerto Rico;70.06962
Qatar;68.66573
Romania;73.3332
Russian Federation;78.16284
Rwanda;76.48282
Samoa;62.07404
San Marino;64.19133
São Tomé and Principe;44.9711
Saudi Arabia;70.87175
Senegal;59.275
Serbia;75.65345
Seychelles;61.70497
Sierra Leone;47.45831
Singapore;86.1981
Slovak Republic;75.58542
Slovenia;76.51751
Solomon Islands;55.26279
Somalia;20.03958
South Africa;67.01897
South Sudan;34.62285
Spain;77.93588
Sri Lanka;61.80614
St. Kitts and Nevis;54.63689
St. Lucia;63.6504
St. Vincent and the Grenadines;57.0869
Sudan;44.82932
Suriname;47.46427
Sweden;81.99155
Switzerland;76.61864
Syrian Arab Republic;41.96812
Taiwan, China;80.92023
Tajikistan;61.26761
Tanzania;54.46329
Thailand;80.09233
Timor-Leste;39.36487
Togo;62.28934
Tonga;61.38921
Trinidad and Tobago;61.29128
Tunisia;68.65706
Turkey;76.79104
Uganda;59.9818
Ukraine;70.2106
United Arab Emirates;80.75261
United Kingdom;83.54968
United States;83.99668
Uruguay;61.53994
Uzbekistan;69.87898
Vanuatu;61.05191
Venezuela, RB;30.23634
Vietnam;69.76594
West Bank and Gaza;59.97873
Yemen, Rep.;31.76299
Zambia;66.93648
Zimbabwe;54.46935
