Pays;indice_stabilité_politique
Afghanistan;-2.5508017539978
Albania;0.114945493638515
Algeria;-0.741771519184113
American Samoa;1.12885904312134
Andorra;1.58773648738861
Angola;-0.646240890026093
Antigua and Barbuda;0.94386225938797
Argentina;-0.00916328188031912
Armenia;-0.797183930873871
Aruba;1.47468435764313
Australia;0.933572053909302
Austria;0.637995362281799
Azerbaijan;-0.931885719299316
Bahamas, The;0.883432567119598
Bahrain;-0.407028496265411
Bangladesh;-1.09237110614777
Barbados;1.15202713012695
Belarus;-0.79387354850769
Belgium;0.575668811798096
Belize;0.426349759101868
Benin;-0.349461376667023
Bermuda;1.03453397750854
Bhutan;0.86481773853302
Bolivia;-0.283260941505432
Bosnia and Herzegovina;-0.439371019601822
Botswana;1.07751607894897
Brazil;-0.331465899944305
British Virgin Islands;..
Brunei Darussalam;1.25736796855927
Bulgaria;0.246252059936523
Burkina Faso;-1.7825174331665
Burundi;-1.18886947631836
Cabo Verde;0.929428398609161
Cambodia;-0.0361724458634853
Cameroon;-1.35294902324677
Canada;0.772814035415649
Cayman Islands;1.64943766593933
Central African Republic;-2.16247296333313
Chad;-1.48370337486267
Channel Islands;..
Chile;0.118578858673573
China;-0.441073626279831
Colombia;-0.641925930976868
Comoros;-0.230514869093895
Congo, Dem. Rep.;-1.97774624824524
Congo, Rep.;-0.0169060137122869
Costa Rica;0.954446792602539
Cote d'Ivoire;-0.51637864112854
Croatia;0.61216127872467
Cuba;0.49952158331871
Curacao;..
Cyprus;0.418635070323944
Czechia;0.815441370010376
Denmark;0.86500883102417
Djibouti;-0.508419454097748
Dominica;1.29823231697083
Dominican Republic;0.328113049268723
Ecuador;-0.239295244216919
Egypt, Arab Rep.;-1.02805662155151
El Salvador;-0.153124496340752
Equatorial Guinea;-0.0742535442113876
Eritrea;-0.970292985439301
Estonia;0.723720729351044
Eswatini;-0.249723330140114
Ethiopia;-2.03806757926941
Faroe Islands;..
Fiji;0.764339506626129
Finland;0.891491711139679
France;0.334524124860764
French Polynesia;..
Gabon;0.0698951333761215
Gambia, The;0.0458285696804523
Georgia;-0.440949499607086
Germany;0.614759147167206
Ghana;-0.0659129694104195
Gibraltar;..
Greece;0.0643030628561974
Greenland;1.56596922874451
Grenada;1.04379844665527
Guam;0.808528244495392
Guatemala;-0.30497133731842
Guinea;-0.864391386508942
Guinea-Bissau;-0.394830405712128
Guyana;0.0270621627569199
Haiti;-1.4062956571579
Honduras;-0.552035331726074
Hungary;0.635951280593872
Iceland;1.26293528079987
India;-0.568608164787292
Indonesia;-0.439423859119415
Iran, Islamic Rep.;-1.58643913269043
Iraq;-2.47392463684082
Ireland;0.881889522075653
Isle of Man;..
Israel;-1.285315990448
Italy;0.413505375385284
Jamaica;0.379746347665787
Japan;1.07391095161438
Jordan;-0.296307682991028
Kazakhstan;-0.356833428144455
Kenya;-0.943087220191956
Korea, Dem. People's Rep.;-0.412224322557449
Korea, Rep.;0.56241101026535
Kosovo;-0.252448588609695
Kuwait;0.28121742606163
Kyrgyz Republic;-0.54657906293869
Lao PDR;0.802727520465851
Latvia;0.480724364519119
Lebanon;-1.47351241111755
Lesotho;-0.134738370776176
Liberia;-0.291599869728088
Libya;-2.19796347618103
Liechtenstein;1.64433610439301
Lithuania;0.653739511966705
Luxembourg;1.06388890743256
Madagascar;-0.531038582324982
Malawi;-0.152863919734955
Malaysia;0.140358164906502
Maldives;0.667752325534821
Mali;-2.47940897941589
Malta;0.913422584533691
Marshall Islands;1.05626726150513
Mauritania;-0.507473766803741
Mauritius;0.835721731185913
Mexico;-0.691959738731384
Micronesia, Fed. Sts.;1.21048414707184
Moldova;-0.668324410915375
Monaco;1.20484304428101
Mongolia;0.533999085426331
Montenegro;-0.0591769814491272
Morocco;-0.319889187812805
Mozambique;-1.28796994686127
Myanmar;-2.21174263954163
Namibia;0.556306064128876
Nauru;0.880902826786041
Nepal;-0.251907497644424
Netherlands;0.717304825782776
New Caledonia;..
New Zealand;1.31238234043121
Nicaragua;-0.34842848777771
Niger;-1.47217929363251
Nigeria;-1.79814147949219
North Macedonia;0.11759065836668
Norway;0.860958337783813
Oman;0.529911398887634
Pakistan;-1.90026199817657
Palau;1.09686291217804
Panama;0.297832071781158
Papua New Guinea;-0.609061777591705
Paraguay;0.0359779521822929
Peru;-0.446338385343552
Philippines;-0.712976396083832
Poland;0.500283241271973
Portugal;0.860719680786133
Puerto Rico;0.543191194534302
Qatar;0.958558142185211
Romania;0.488021969795227
Russian Federation;-0.918995440006256
Rwanda;0.0305139776319265
