Pays;Trading_accross_borders
Afghanistan;30.63301
Albania;96.29094
Algeria;38.42879
Angola;36.15152
Antigua and Barbuda;68.72541
Argentina;67.09272
Armenia;91.72722
Australia;70.30122
Austria;100
Azerbaijan;81.74803
Bahamas, The;53.074
Bahrain;78.67767
Bangladesh;31.76273
Barbados;62.84504
Belarus;96.50693
Belgium;100
Belize;68.22905
Benin;68.94165
Bhutan;94.24843
Bolivia;71.58727
Bosnia and Herzegovina;95.7339
Botswana;86.65051
Brazil;69.85197
Brunei Darussalam;58.7034
Bulgaria;97.41406
Burkina Faso;66.57509
Burundi;47.34275
Cabo Verde;69.05361
Cambodia;67.28297
Cameroon;15.98682
Canada;88.35791
Central African Republic;52.35989
Chad;37.04151
Chile;80.55935
China;86.50482
Colombia;62.71747
Comoros;66.86874
Congo, Dem. Rep.;3.45188
Congo, Rep.;19.6799
Costa Rica;77.60393
Côte d'Ivoire;52.44345
Croatia;100
Cyprus;88.44227
Czech Republic;100
Denmark;100
Djibouti;59.36779
Dominica;74.25865
Dominican Republic;83.506
Ecuador;71.15372
Egypt, Arab Rep.;42.22742
El Salvador;89.75916
Equatorial Guinea;32.04787
Eritrea;0
Estonia;99.92138
Eswatini;92.91672
Ethiopia;56.00201
Fiji;77.89078
Finland;92.43626
France;100
Gabon;43.93934
Gambia, The;67.81075
Georgia;90.06518
Germany;91.77378
Ghana;54.83928
Greece;93.71659
Grenada;61.51902
Guatemala;77.15338
Guinea;47.8171
Guinea-Bissau;59.60033
Guyana;58.26962
Haiti;76.90174
Honduras;64.27298
Hong Kong, China;95.04106
Hungary;100
Iceland;86.70922
India;82.45819
Indonesia;67.53506
Iran, Islamic Rep.;66.1998
Iraq;25.32623
Ireland;87.24621
Israel;83.4229
Italy;100
Jamaica;61.53564
Japan;85.93903
Jordan;79.02821
Kazakhstan;70.3578
Kenya;67.43698
Kiribati;62.08402
Korea, Rep.;92.52288
Kosovo;94.15155
Kuwait;52.61136
Kyrgyz Republic;74.72481
Lao PDR;78.11937
Latvia;95.25524
Lebanon;57.89675
Lesotho;91.85633
Liberia;19.17506
Libya;64.65713
Liechtenstein;96.05693
Lithuania;97.8342
Luxembourg;100
Madagascar;60.95401
Malawi;65.29455
Malaysia;88.4713
Maldives;55.87329
Mali;73.29979
Malta;88.92546
Marshall Islands;78.8649
Mauritania;60.29745
Mauritius;81.00271
Mexico;82.09041
Micronesia, Fed. Sts.;83.99721
Moldova;92.32009
Mongolia;60.83078
Montenegro;91.85441
Morocco;85.58359
Mozambique;73.83543
Myanmar;47.67401
Namibia;61.47128
Nepal;85.14296
Netherlands;100
New Zealand;84.63253
Nicaragua;76.98581
Niger;65.40149
Nigeria;29.20304
North Macedonia;93.87026
Norway;96.97418
Oman;84.06677
Pakistan;68.82989
Palau;60.97549
Panama;85.47404
Papua New Guinea;65.75324
Paraguay;65.10256
Peru;71.2527
Philippines;68.44584
Poland;100
Portugal;100
Puerto Rico;81.8597
Qatar;71.50711
Romania;100
Russian Federation;71.76091
Rwanda;74.97549
Samoa;57.81314
San Marino;97.48059
São Tomé and Principe;66.03462
Saudi Arabia;75.97878
Senegal;60.85167
Serbia;96.57181
Seychelles;71.79176
Sierra Leone;51.87521
Singapore;89.56752
Slovak Republic;100
Slovenia;100
Solomon Islands;53.4475
Somalia;51.59643
South Africa;59.64271
South Sudan;26.19126
Spain;100
Sri Lanka;73.29466
St. Kitts and Nevis;81.03515
St. Lucia;73.86861
St. Vincent and the Grenadines;77.35079
Sudan;18.96411
Suriname;75.02115
Sweden;98.03616
Switzerland;96.05693
Syrian Arab Republic;29.83047
Taiwan, China;84.93691
Tajikistan;60.94652
Tanzania;20.21464
Thailand;84.64969
Timor-Leste;69.90338
Togo;63.66457
Tonga;72.63609
Trinidad and Tobago;62.60005
Tunisia;74.6324
Turkey;91.62559
Uganda;66.73418
Ukraine;80.13322
United Arab Emirates;74.10464
United Kingdom;93.76232
United States;92.01404
Uruguay;58.39115
Uzbekistan;58.2312
Vanuatu;59.13408
Vietnam;70.82859
West Bank and Gaza;86.67132
Zambia;56.87656
Zimbabwe;54.34362
