Country;Organic per capita consumption [€/person]
Australia;51,5
Austria;274,14
Belgium;84,3
Bhutan;0,04
Bosnia and Herzegovina;0,11
Brazil;3,74
Bulgaria;5,85
Canada;146,58
China;8,5
Croatia;24,18
Czech Republic;22,1
Denmark;365,33
Estonia;72
Ethiopia;0,1
Finland;72,97
France;176
Germany;181
Greece;6,18
Hungary;3,04
India;0,2
Ireland;33,25
Italy;62,19
Japan;13,1
Kenya;0,06
Latvia;6,32
Lithuania;17,8
Luxembourg;259
Mongolia;0,17
Netherlands;80,58
New Zealand;33,62
Norway;84,59
Poland;8,23
Portugal;2
Republic of Korea;10,7
Romania;2,06
Russian Federation;1,3
Saudi Arabia;10,1
Singapore;2,73
Slovenia;26,6
Spain;54,75
Sweden;247,81
Switzerland;436,95
Turkey;0,6
Ukraine;0,32
United Kingdom;50,56
United States of America;175,72
