Pays;Élément;Année;Unité;Valeur viande de volailles;Elément_unité
Afghanistan;Disponibilité alimentaire (Kcal/personne/jour);2022;kcal/personne/jour;3.29;Disponibilité alimentaire (Kcal/personne/jour)
Afghanistan;Disponibilité alimentaire en quantité (kg/personne/an);2022;kcal/personne;0.87;Disponibilité alimentaire en quantité (kg/personne/an)
Afghanistan;Disponibilité intérieure;2022;1000 t;36;Disponibilité intérieure - 1000 t
Afghanistan;Importations - quantité;2022;1000 t;7;Importations - quantité - 1000 t
Afghanistan;Nourriture;2022;1000 t;36;Nourriture - 1000 t
Afghanistan;Production;2022;1000 t;29;Production - 1000 t
Afghanistan;Variation de stock;2022;1000 t;1;Variation de stock - 1000 t
Afrique du Sud;Disponibilité alimentaire (Kcal/personne/jour);2022;kcal/personne/jour;149.24;Disponibilité alimentaire (Kcal/personne/jour)
Afrique du Sud;Disponibilité alimentaire en quantité (kg/personne/an);2022;kcal/personne;39.57;Disponibilité alimentaire en quantité (kg/personne/an)
Afrique du Sud;Disponibilité intérieure;2022;1000 t;2370;Disponibilité intérieure - 1000 t
Afrique du Sud;Exportations - quantité;2022;1000 t;50;Exportations - quantité - 1000 t
Afrique du Sud;Importations - quantité;2022;1000 t;304;Importations - quantité - 1000 t
Afrique du Sud;Nourriture;2022;1000 t;2370;Nourriture - 1000 t
Afrique du Sud;Production;2022;1000 t;1958;Production - 1000 t
Afrique du Sud;Variation de stock;2022;1000 t;-157;Variation de stock - 1000 t
Albanie;Disponibilité alimentaire (Kcal/personne/jour);2022;kcal/personne/jour;85.67;Disponibilité alimentaire (Kcal/personne/jour)
Albanie;Disponibilité alimentaire en quantité (kg/personne/an);2022;kcal/personne;22.56;Disponibilité alimentaire en quantité (kg/personne/an)
Albanie;Disponibilité intérieure;2022;1000 t;64;Disponibilité intérieure - 1000 t
Albanie;Importations - quantité;2022;1000 t;47;Importations - quantité - 1000 t
Albanie;Nourriture;2022;1000 t;64;Nourriture - 1000 t
Albanie;Production;2022;1000 t;18;Production - 1000 t
Albanie;Variation de stock;2022;1000 t;0;Variation de stock - 1000 t
Algérie;Disponibilité alimentaire (Kcal/personne/jour);2022;kcal/personne/jour;23.14;Disponibilité alimentaire (Kcal/personne/jour)
Algérie;Disponibilité alimentaire en quantité (kg/personne/an);2022;kcal/personne;6.13;Disponibilité alimentaire en quantité (kg/personne/an)
Algérie;Disponibilité intérieure;2022;1000 t;275;Disponibilité intérieure - 1000 t
Algérie;Exportations - quantité;2022;1000 t;0;Exportations - quantité - 1000 t
Algérie;Importations - quantité;2022;1000 t;0;Importations - quantité - 1000 t
Algérie;Nourriture;2022;1000 t;275;Nourriture - 1000 t
Algérie;Production;2022;1000 t;275;Production - 1000 t
Algérie;Variation de stock;2022;1000 t;0;Variation de stock - 1000 t
