Pays;taux_droits_douane
Aruba;9.66
Angola;11.33
Albanie;1.13
Émirats arabes unis;2.63
Argentine;6.51
Arménie;3.61
Antigua-et-Barbuda;13.07
Australie;0.81
Autriche;1.39
Azerbaïdjan;6.01
Burundi;8.53
Belgique;1.39
Bénin;10.89
Burkina Faso;7.3
Bangladesh;10.95
Bulgarie;1.39
Bahreïn;2.09
Bosnie-Herzégovine;2.8
Bélarus;2.27
Belize;17.79
Bermudes;23.84
Bolivie;5.12
Brésil;7.76
Barbade;12.24
Brunéi Darussalam;0.02
Bhoutan;3.33
Botswana;0.95
Canada;2.35
Suisse;1.4
Chili;0.43
Chine;2.31
Côte d'Ivoire;7.63
Colombie;2.58
Comores;4.34
Cabo Verde;9.96
Costa Rica;1.43
Cuba;8.91
Îles Caïmans;20.39
Chypre;1.39
République tchèque;1.39
Allemagne;1.39
Danemark;1.39
République dominicaine;3.8
Algérie;10.29
Équateur;4.63
Espagne;1.39
Estonie;1.39
Éthiopie;12.66
Union européenne;1.39
Finlande;1.39
Fidji;8.35
France;1.39
Royaume-Uni;0.72
Géorgie;0.34
Ghana;10.51
Guinée;12.26
Gambie;17.69
Guinée-Bissau;11.82
Grèce;1.39
Guatemala;1.72
Guyana;4.73
Chine, RAS de Hong Kong;0
Honduras;2.85
Croatie;1.39
Hongrie;1.39
Indonésie;1.83
Inde;5.87
Irlande;1.39
Islande;1.51
Israël;2.88
Italie;1.39
Jamaïque;8.61
Japon;1.84
Kazakhstan;2.17
Kenya;9.3
République kirghize;3.01
Cambodge;5.37
Corée, République de;4.85
Koweït;2.85
République démocratique populaire lao;1.12
Libéria;6.64
Libye;4.03
Sri Lanka;4.36
Lesotho;3.35
Lituanie;1.39
Luxembourg;1.39
Lettonie;1.39
Région administrative spéciale de Macao, Chine;0
Maroc;4.23
Moldova;1.2
Madagascar;7.51
Maldives;10.55
Macédoine du Nord;2.38
Mali;7.88
Malte;1.39
Myanmar;1.04
Monténégro;3.19
Mongolie;5.28
Mozambique;4.19
Mauritanie;8.32
Maurice;1.27
Malawi;5.95
Malaisie;3.62
Namibie;1.32
Niger;8.46
Nigéria;12.2
Nicaragua;1.96
Pays-Bas;1.39
Norvège;3
Népal;11.99
Nauru;14.07
Nouvelle-Zélande;0.86
Oman;2
Pakistan;9.03
Panama;6.43
Pérou;0.65
Philippines;1.73
Palaos;9.49
Papouasie-Nouvelle-Guinée;3.58
Pologne;1.39
Portugal;1.39
Paraguay;4.49
Polynésie française;5.75
Qatar;3.53
Roumanie;1.39
Fédération de Russie;4.17
Rwanda;11.97
Soudan;0
Sénégal;8.88
Singapour;0
Îles Salomon;14.31
Sierra Leone;14.22
El Salvador;1.88
Serbie;1.72
Suriname;8.43
République slovaque;1.39
Slovénie;1.39
Suède;1.39
Eswatini;2.14
Seychelles;1.07
Togo;10.73
Thaïlande;3.15
Tadjikistan;2.31
Timor-Leste;2.53
Tonga;6.59
Trinité-et-Tobago;8.87
Turquie;3.22
Tanzanie;8.67
Ouganda;8.67
Ukraine;1.71
Uruguay;5.25
États-Unis;1.47
Ouzbékistan;2.56
Saint-Vincent-et-les Grenadines;9.06
Venezuela;13.61
Viet Nam;1.17
Vanuatu;11.08
Afrique du Sud;4.46
Zambie;4.81
Zimbabwe;11.37
