Pays;population_urbaine_croissance (%)
Aruba;0.300246171701516
Afghanistan;3.8496026213416
Angola;3.9186324816554
Albania;0.103888261229259
Andorra;0.28776998276152
Arab World;2.31016736922656
United Arab Emirates;1.06826621651544
Argentina;1.02930606084609
Armenia;0.170817597419753
American Samoa;-0.76971463855167
Antigua and Barbuda;0.511219517233514
Australia;2.51994552503658
Austria;1.45762208441976
Azerbaijan;0.421047891058885
Burundi;5.18525501226323
Belgium;1.20033703308108
Benin;3.79625297273457
Burkina Faso;4.51311680104022
Bangladesh;2.92815170470649
Bulgaria;-0.096949070831414
Bahrain;1.03801871553675
Bahamas, The;0.800749157594155
Bosnia and Herzegovina;0.151223816153373
Belarus;-0.0378889286823575
Belize;1.81661724015596
Bermuda;-0.166818835702156
Bolivia;1.83776488805542
Brazil;0.779482105140141
Barbados;0.450135348038692
Brunei Darussalam;1.15470573561088
Bhutan;2.14176273994539
Botswana;2.58481575844053
Central African Republic;4.02182026381132
Canada;3.06673671034865
Switzerland;0.989088784292753
Channel Islands;0.987730474740096
Chile;0.245496926597844
China;1.47276196539697
Cote d'Ivoire;3.42104598909509
Cameroon;3.57719078603783
Congo, Dem. Rep.;4.51996392303917
Congo, Rep.;2.91506394501009
Colombia;0.7760258908473
Comoros;2.70543362735595
Cabo Verde;1.57350969124733
Costa Rica;1.30764813911741
Cuba;-0.000864223514484099
Curacao;-1.43535736015763
Cayman Islands;0.875266427063587
Cyprus;0.802377407093787
Czechia;2.10616584026729
Germany;0.963836539596019
Djibouti;1.60197279984826
Dominica;0.842049941760848
Denmark;0.885922245855764
Dominican Republic;1.63392481906321
Algeria;2.21517887208394
Ecuador;1.39034614233661
Egypt, Arab Rep.;1.85262649744046
Euro area;0.901393853538906
Eritrea;3.24039833426919
Spain;1.54219810129157
Estonia;1.56630153723739
Ethiopia;4.6839491113758
Finland;0.612840150237725
Fiji;1.53618370349051
France;0.62047893169512
Faroe Islands;0.824385287098676
Micronesia, Fed. Sts.;1.62045347368536
Gabon;2.29532193878837
United Kingdom;1.10990162254342
Georgia;1.99162547384407
Ghana;2.96895952564594
Gibraltar;0.119381069323191
Guinea;3.46307445520856
Gambia, The;3.41849691795572
Guinea-Bissau;3.06668479305617
Equatorial Guinea;2.93637859363624
Greece;-0.238876501959339
Grenada;1.10959335570709
Greenland;0.601722737379065
Guatemala;2.21593129965741
Guam;0.762352213531873
Guyana;1.14654067245024
Hong Kong SAR, China;2.55352466697343
Honduras;2.5524372865535
Croatia;0.546280476222869
Haiti;2.6105088643369
Hungary;-0.123857728779785
Ireland;3.04293022006302
Iran, Islamic Rep.;1.28436439559041
Iraq;2.58382039993892
Iceland;3.04384024823497
Israel;2.16085005444839
Italy;0.135388552879212
Jamaica;0.582110548214431
Jordan;0.662442921379859
Japan;-0.391718017575944
Kazakhstan;1.66696574620748
Kenya;3.73706090707064
Kyrgyz Republic;2.69245871743491
Cambodia;2.8493940926435
Kiribati;2.95154946122764
St. Kitts and Nevis;0.546947580453548
Korea, Rep.;0.113085223805968
Kuwait;0.961310382886709
Lao PDR;3.10314801826528
Lebanon;-2.31471163055473
Liberia;3.09992930658742
Libya;1.48335497172107
St. Lucia;0.857301715435031
Liechtenstein;1.19970142721091
Sri Lanka;0.316335684381535
Lesotho;2.62064927383955
Late-demographic dividend;1.21460981776708
Lithuania;1.74561373923573
Luxembourg;2.56011060176507
Latvia;0.316856996715697
Macao SAR, China;1.28364385187692
Morocco;1.82429599973334
Monaco;-0.472749142011542
Moldova;-1.60738734031952
Madagascar;4.05851992881364
Maldives;0.512565364642184
Middle East & North Africa;1.95537675534121
Mexico;1.08969778011815
Marshall Islands;1.4628992202061
North Macedonia;-0.474309189601274
Mali;4.69315693861511
Malta;4.1466606149402
Myanmar;1.80076521296226
Montenegro;0.326763942387827
Mongolia;1.65588762699044
Northern Mariana Islands;0.595005474189447
Mozambique;4.24665671866479
Mauritania;3.99715288206457
Mauritius;0.0221233357458724
Malawi;4.20192030482266
Malaysia;1.72498255298186
North America;0.995315067325635
Namibia;3.14617104631093
New Caledonia;0.0682833941300698
Niger;4.66838616234182
Nigeria;3.79358822964123
Nicaragua;1.89015516737942
Netherlands;1.31834564821168
Norway;1.53302877123008
Nepal;3.22127461188389
Nauru;0.880232027299544
New Zealand;2.16455883941835
Oman;2.21484929178953
Other small states;1.56938001455467
Pakistan;2.77272273630038
Panama;1.87590994230428
Peru;1.15784532215802
Philippines;2.17126141234698
Palau;0.566077392751596
Papua New Guinea;2.8626567336408
Poland;-0.230167586823154
Puerto Rico;-0.423241126054366
Korea, Dem. People's Rep.;0.805135278291282
Portugal;1.88091486548835
Paraguay;1.7098094138569
West Bank and Gaza;2.76907182296882
French Polynesia;1.03239127630062
Qatar;0.82231528872316
Romania;0.383086685498027
Russian Federation;-0.0127140524321384
Rwanda;3.24223120670769
South Asia;2.37424827906088
Saudi Arabia;1.72790086673338
Sudan;3.66800100277832
Senegal;3.54635203867498
Singapore;4.85831607781442
Solomon Islands;3.96050512560036
